2458940.500000000, A.D. 2020-Apr-01 00:00:00.0000, 69.185679, 1.601089491098744E+01, 1.166093441739466E+01, -1.641143896329294E-01, -2.344539320311758E-03, 2.996013094069052E-03, 4.148250238850456E-05,
2459305.500000000, A.D. 2021-Apr-01 00:00:00.0000, 69.185671, 1.511518273913214E+01, 1.272388102343152E+01, -1.485624488988147E-01, -2.561913375536868E-03, 2.825725205932561E-03, 4.373774409163113E-05,
2459670.500000000, A.D. 2022-Apr-01 00:00:00.0000, 69.185661, 1.414217809795891E+01, 1.372176115171035E+01, -1.322507803732942E-01, -2.767806039631710E-03, 2.639578138350714E-03, 4.573598060817845E-05,
2460035.500000000, A.D. 2023-Apr-01 00:00:00.0000, 69.185650, 1.309627915474090E+01, 1.464889661587678E+01, -1.152575323890149E-01, -2.961057184965096E-03, 2.438167942419373E-03, 4.743508521887015E-05,
2460401.500000000, A.D. 2024-Apr-01 00:00:00.0000, 69.185640, 1.197915496892704E+01, 1.550207201657491E+01, -9.761655895991846E-02, -3.141008346391160E-03, 2.221614140006883E-03, 4.889197071295967E-05,
2460766.500000000, A.D. 2025-Apr-01 00:00:00.0000, 69.185634, 1.080214484898236E+01, 1.627146592736828E+01, -7.951140406573481E-02, -3.305691490166927E-03, 1.991994835489158E-03, 5.008277519080904E-05,
2461131.500000000, A.D. 2026-Apr-01 00:00:00.0000, 69.185633, 9.567933907237462E+00, 1.695469651982028E+01, -6.098556580639723E-02, -3.454308684722607E-03, 1.749634662794972E-03, 5.104496797285977E-05,
2461496.500000000, A.D. 2027-Apr-01 00:00:00.0000, 69.185639, 8.282580926538120E+00, 1.754728783668044E+01, -4.213410410746120E-02, -3.585749579468094E-03, 1.495505308483375E-03, 5.183015220904963E-05,
2461862.500000000, A.D. 2028-Apr-01 00:00:00.0000, 69.185649, 6.948830279681636E+00, 1.804636340586645E+01, -2.300353697672592E-02, -3.699442255871704E-03, 1.229968072625310E-03, 5.244734054203734E-05,
2462227.500000000, A.D. 2029-Apr-01 00:00:00.0000, 69.185650, 5.580791057236085E+00, 1.844549034737155E+01, -3.800679275854536E-03, -3.793462494718198E-03, 9.555553752851596E-04, 5.269798715680060E-05,
2462592.500000000, A.D. 2030-Apr-01 00:00:00.0000, 69.185655, 4.182022707868409E+00, 1.874291911394577E+01, 1.542114734248551E-02, -3.867458158672219E-03, 6.729135377774710E-04, 5.267861991927454E-05,
2462957.500000000, A.D. 2031-Apr-01 00:00:00.0000, 69.185663, 2.759986084461655E+00, 1.893589943520150E+01, 3.455455353149653E-02, -3.920681074718360E-03, 3.834667004567873E-04, 5.234474558175512E-05,
2463323.500000000, A.D. 2032-Apr-01 00:00:00.0000, 69.185666, 1.318475800279469E+00, 1.902230621569720E+01, 5.354229253152131E-02, -3.952383265873974E-03, 8.788119645874786E-05, 5.144369586825379E-05,
2463688.500000000, A.D. 2033-Apr-01 00:00:00.0000, 69.185663, -1.266128208648579E-01, 1.900002966902557E+01, 7.217079429513500E-02, -3.961824379314180E-03, -2.104945521264363E-04, 5.049500513439260E-05,
2464053.500000000, A.D. 2034-Apr-01 00:00:00.0000, 69.185653, -1.570982135525553E+00, 1.886843569349308E+01, 9.038277309706499E-02, -3.948555727914814E-03, -5.107693307041708E-04, 4.924954037358042E-05,
2464418.500000000, A.D. 2035-Apr-01 00:00:00.0000, 69.185643, -3.006235511533906E+00, 1.862715131628730E+01, 1.080689506715138E-01, -3.912069734743782E-03, -8.111711485115422E-04, 4.767065764255890E-05,
2464784.500000000, A.D. 2036-Apr-01 00:00:00.0000, 69.185639, -4.427696695352584E+00, 1.827535581311353E+01, 1.251664451816589E-01, -3.851693107171967E-03, -1.110696558843100E-03, 4.594095686401252E-05,
2465149.500000000, A.D. 2037-Apr-01 00:00:00.0000, 69.185633, -5.818976555097866E+00, 1.781594035574339E+01, 1.414737586337614E-01, -3.767946371387766E-03, -1.405807392912750E-03, 4.376890570099850E-05,
2465514.500000000, A.D. 2038-Apr-01 00:00:00.0000, 69.185634, -7.175384449257711E+00, 1.724975789994948E+01, 1.569334803034577E-01, -3.660653555946127E-03, -1.695394578569242E-03, 4.122820283136719E-05,
2465879.500000000, A.D. 2039-Apr-01 00:00:00.0000, 69.185644, -8.488392452031912E+00, 1.657920659472962E+01, 1.714442654110495E-01, -3.530114832606797E-03, -1.977385936269022E-03, 3.839869940445442E-05,
2466245.500000000, A.D. 2040-Apr-01 00:00:00.0000, 69.185651, -9.752980882848954E+00, 1.580519221553834E+01, 1.849445277668865E-01, -3.376476382253241E-03, -2.250401814807557E-03, 3.531405504512879E-05,
2466610.500000000, A.D. 2041-Apr-01 00:00:00.0000, 69.185656, -1.095401207586097E+01, 1.493585380280596E+01, 1.972684318000253E-01, -3.201028678432044E-03, -2.510979760569397E-03, 3.198946643404478E-05,
2466975.500000000, A.D. 2042-Apr-01 00:00:00.0000, 69.185664, -1.208706930003885E+01, 1.397383526407715E+01, 2.083684499986928E-01, -3.004213682252073E-03, -2.757920401952599E-03, 2.852362920460017E-05,
2467340.500000000, A.D. 2043-Apr-01 00:00:00.0000, 69.185670, -1.314454852455990E+01, 1.292446048163346E+01, 2.181657058173878E-01, -2.787116146907048E-03, -2.989319844291770E-03, 2.491521915912281E-05,
2467706.500000000, A.D. 2044-Apr-01 00:00:00.0000, 69.185677, -1.412181826346814E+01, 1.179053127013082E+01, 2.266105657102226E-01, -2.550271462255377E-03, -3.203924249537996E-03, 2.113763898097858E-05,
