2458940.500000000, A.D. 2020-Apr-01 00:00:00.0000, 69.185679, 1.324296422097782E+01, -3.131334736786088E+01, -4.799216966735358E-01, 2.972552558233721E-03, 5.636043577018970E-04, -9.163745082827769E-04,
2459305.500000000, A.D. 2021-Apr-01 00:00:00.0000, 69.185671, 1.431769740253745E+01, -3.109580843207481E+01, -8.140802419358207E-01, 2.934471334053195E-03, 6.415883103105961E-04, -9.248147884520271E-04,
2459670.500000000, A.D. 2022-Apr-01 00:00:00.0000, 69.185661, 1.537835555014365E+01, -3.084770441359685E+01, -1.147445694745964E+00, 2.887378100808352E-03, 7.145753944354129E-04, -9.244102502167443E-04,
2460035.500000000, A.D. 2023-Apr-01 00:00:00.0000, 69.185650, 1.642421222855801E+01, -3.056991942775669E+01, -1.479705348168673E+00, 2.837267310774810E-03, 7.899775999270992E-04, -9.134869735670984E-04,
2460401.500000000, A.D. 2024-Apr-01 00:00:00.0000, 69.185640, 1.745739059729810E+01, -3.026246165847324E+01, -1.811456651591644E+00, 2.796436433750298E-03, 8.817799740544153E-04, -8.913864542584557E-04,
2460766.500000000, A.D. 2025-Apr-01 00:00:00.0000, 69.185634, 1.847165102546045E+01, -2.992788590433778E+01, -2.140630936995336E+00, 2.760641038499123E-03, 9.642073608978316E-04, -8.907502859514373E-04,
2461131.500000000, A.D. 2026-Apr-01 00:00:00.0000, 69.185633, 1.946925368097112E+01, -2.956629865624043E+01, -2.467882109153542E+00, 2.719894551520885E-03, 1.036277067854311E-03, -8.961010103862370E-04,
2461496.500000000, A.D. 2027-Apr-01 00:00:00.0000, 69.185639, 2.044966459259435E+01, -2.917859851032759E+01, -2.792964371292568E+00, 2.669924984988082E-03, 1.098546571723117E-03, -8.989296075286198E-04,
2461862.500000000, A.D. 2028-Apr-01 00:00:00.0000, 69.185649, 2.141500081184556E+01, -2.876452206954501E+01, -3.116525211798315E+00, 2.604024412108215E-03, 1.154479131680909E-03, -8.823514901106204E-04,
2462227.500000000, A.D. 2029-Apr-01 00:00:00.0000, 69.185650, 2.235954698804879E+01, -2.832719208626281E+01, -3.436539500486211E+00, 2.552996487318993E-03, 1.225863054189561E-03, -8.639795663475505E-04,
2462592.500000000, A.D. 2030-Apr-01 00:00:00.0000, 69.185655, 2.328557402207689E+01, -2.786638369606413E+01, -3.753700127012062E+00, 2.508409381291974E-03, 1.298654040917030E-03, -8.520282456591091E-04,
2462957.500000000, A.D. 2031-Apr-01 00:00:00.0000, 69.185663, 2.419272229963124E+01, -2.738296215816881E+01, -4.067817796434811E+00, 2.465170386470076E-03, 1.365350346365403E-03, -8.495473152913437E-04,
2463323.500000000, A.D. 2032-Apr-01 00:00:00.0000, 69.185666, 2.508307662307850E+01, -2.687637057831315E+01, -4.379570262167917E+00, 2.411950754040354E-03, 1.411861418902121E-03, -8.597701395012593E-04,
2463688.500000000, A.D. 2033-Apr-01 00:00:00.0000, 69.185663, 2.595144568668041E+01, -2.635024493495104E+01, -4.687063077865361E+00, 2.349156066935725E-03, 1.459901994742009E-03, -8.475541272881132E-04,
2464053.500000000, A.D. 2034-Apr-01 00:00:00.0000, 69.185653, 2.680003549343613E+01, -2.580404541443840E+01, -4.990978600017162E+00, 2.287991121922446E-03, 1.513019191509110E-03, -8.271609245169675E-04,
2464418.500000000, A.D. 2035-Apr-01 00:00:00.0000, 69.185643, 2.762862149435313E+01, -2.523858133714680E+01, -5.291159219714014E+00, 2.233724150566816E-03, 1.571848098680443E-03, -8.066962656331587E-04,
2464784.500000000, A.D. 2036-Apr-01 00:00:00.0000, 69.185639, 2.843920036788549E+01, -2.465301727737742E+01, -5.588262740515229E+00, 2.194688479706603E-03, 1.635458234979968E-03, -8.025850298897456E-04,
2465149.500000000, A.D. 2037-Apr-01 00:00:00.0000, 69.185633, 2.922716993017832E+01, -2.405136396966679E+01, -5.880567277730420E+00, 2.140815427440369E-03, 1.678131922315757E-03, -8.026950061259580E-04,
2465514.500000000, A.D. 2038-Apr-01 00:00:00.0000, 69.185634, 2.999461113416923E+01, -2.343282396274135E+01, -6.168750299700209E+00, 2.078732972294681E-03, 1.713813553880465E-03, -7.966634378249776E-04,
2465879.500000000, A.D. 2039-Apr-01 00:00:00.0000, 69.185644, 3.074139308540243E+01, -2.279815574310376E+01, -6.452686460714614E+00, 2.012910786079083E-03, 1.749976358730613E-03, -7.802828967391185E-04,
2466245.500000000, A.D. 2040-Apr-01 00:00:00.0000, 69.185651, 3.146936466586263E+01, -2.214629968101302E+01, -6.733010213697359E+00, 1.953243482915231E-03, 1.801216007345929E-03, -7.478082374671339E-04,
2466610.500000000, A.D. 2041-Apr-01 00:00:00.0000, 69.185656, 3.217449741978010E+01, -2.148151866618644E+01, -7.008097864872605E+00, 1.904711892643401E-03, 1.849225935616383E-03, -7.364111915287491E-04,
2466975.500000000, A.D. 2042-Apr-01 00:00:00.0000, 69.185664, 3.285874177003338E+01, -2.080277703954647E+01, -7.278639186826039E+00, 1.854920984808183E-03, 1.888711940572637E-03, -7.333930920064347E-04,
2467340.500000000, A.D. 2043-Apr-01 00:00:00.0000, 69.185670, 3.352205039397802E+01, -2.011077761732764E+01, -7.544552316035029E+00, 1.798064090830050E-03, 1.917998654598294E-03, -7.313236444713217E-04,
2467706.500000000, A.D. 2044-Apr-01 00:00:00.0000, 69.185677, 3.416611797561290E+01, -1.940426735021343E+01, -7.806472989450305E+00, 1.724113868462708E-03, 1.936138748220464E-03, -7.146371190147859E-04,
